,mass,longitude_r2,longitude_error,amount_of_coins,mass_error
masa 0,0.00,8.40,0.01,0,0
masa 1,40.00,8.60,0.01,2,0.2
masa 2,50.00,9.9,0.01,3,0.3
masa 3,60.00,10.9,0.01,3,0.3
masa 4,70.00,12.1,0.01,4,0.4
masa 5,80.00,13.4,0.01,4,0.4
masa 6,90.00,14.8,0.01,5,0.5
masa 7,100.00,16.2,0.01,6,0.6
masa 8,110.00,17.5,0.01,7,0.7
masa 9,120.00,19.6,0.01,9,0.9
random,,11.9,0.01,,
